Timestamp,Open,High,Low,Close,Rsi,Cci
5/11/2020 11:00:00 AM,2405.36,2416.99,2400.92,2402.98,67.56,199.72
5/11/2020 12:00:00 PM,2403.50,2410.27,2400.00,2405.84,68.39,159.45
5/11/2020 1:00:00 PM,2405.84,2409.80,2402.72,2406.00,68.44,131.12
5/11/2020 2:00:00 PM,2406.00,2416.48,2405.99,2410.12,69.72,119.82
5/11/2020 3:00:00 PM,2409.47,2419.21,2405.38,2417.32,71.88,109.19
5/11/2020 4:00:00 PM,2417.32,2419.66,2406.31,2409.00,66.03,85.62
5/12/2020 10:00:00 AM,2410.65,2419.00,2387.91,2399.50,60.02,38.62
5/12/2020 11:00:00 AM,2399.50,2408.73,2390.54,2407.99,63.24,33.72
5/12/2020 12:00:00 PM,2407.99,2413.55,2404.36,2408.04,63.26,57.43
5/12/2020 1:00:00 PM,2408.04,2412.59,2405.46,2412.40,64.94,60.18
5/12/2020 2:00:00 PM,2412.40,2412.70,2398.00,2400.04,56.98,12.70
5/12/2020 3:00:00 PM,2400.04,2402.12,2393.78,2399.50,56.66,-56.19
5/12/2020 4:00:00 PM,2399.03,2399.08,2355.00,2355.61,37.73,-319.74
5/13/2020 10:00:00 AM,2369.11,2382.00,2354.46,2373.64,45.75,-222.29
5/13/2020 11:00:00 AM,2373.64,2407.70,2373.31,2389.98,51.80,-64.09
5/13/2020 12:00:00 PM,2389.98,2397.67,2358.58,2366.90,44.28,-126.14
5/13/2020 1:00:00 PM,2366.90,2379.11,2337.81,2370.95,45.77,-140.38
5/13/2020 2:00:00 PM,2370.95,2371.05,2348.99,2357.98,41.91,-123.16
5/13/2020 3:00:00 PM,2357.98,2368.48,2349.20,2350.69,39.88,-110.99
5/13/2020 4:00:00 PM,2350.40,2370.83,2340.85,2366.17,45.89,-85.20
